bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,40,6.324555320336759,0.11834319526627218,0.018711702131173843,0.15811388300841897,1.9289940828402368,0.12929041954916023,1.3322362662371758
1,84,9.16515138991168,0.2485207100591716,0.027115832514531597,0.10910894511799618,1.9289940828402368,0.12929041954916023,1.3322362662371758
2,107,7.314369419163897,0.3165680473372781,0.021640146210544074,0.06835859270246632,1.9289940828402368,0.12929041954916023,1.3322362662371758
3,75,5.0,0.22189349112426035,0.014792899408284023,0.06666666666666667,1.9289940828402368,0.12929041954916023,1.3322362662371758
4,31,2.7838821814150108,0.09171597633136094,0.00823633781483731,0.08980265101338744,1.9289940828402368,0.12929041954916023,1.3322362662371758
5,1,0.4472135954999579,0.0029585798816568047,0.0013231171464495796,0.4472135954999579,1.9289940828402368,0.12929041954916023,1.3322362662371758
6,0,0.0,0.0,0.0,,1.9289940828402368,0.12929041954916023,1.3322362662371758
7,0,0.0,0.0,0.0,,1.9289940828402368,0.12929041954916023,1.3322362662371758
8,0,0.0,0.0,0.0,,1.9289940828402368,0.12929041954916023,1.3322362662371758
9,0,0.0,0.0,0.0,,1.9289940828402368,0.12929041954916023,1.3322362662371758
